 Nezapomeň na ručník,2297875,2311975.0,0
 A svačiny na cesty,2324352,2344352,1
 Mě se líbí ovoce,2353862,2372862,0
 A co na pikniky,2379765,2397765,0
 To mám ráda,2407230,2417830.0,0
Ahoj Šalino,162000,169500,0
 Inspirují mě nádraží,175020,188520,0
 Mám ráda hlášení,192856,206356,0
 Hlášení pro raketodrom,212727.0,227277,1
 Starty údržba a bezpečnost,234572,251821.0,2
 O prvním startu rakety,263741.0,278691.0,1
 Za pět minut,281924,295424,0
Datum čas a,301593.0,320143,0
 Pozor pozor Údržba zařízení,326973.0,346223,0
Informace o plánu,356140,370640,0
 Každé dva týdny,378201.0,389401,0
 Pozor školení opakuji školení,396583,411283.0,0
 Příští pátek ve dvanáct,421768,439268,0
 Ještě jedno přidáme,445752,459052,1
Informace o posádkách,483003,495003.0,2
Kudy kdy kdo,493053.0,505503.0,1
 Let se blíží,511326,523826,2
 Opakuji let se blíží,530206,547706,2
 Ano jdeme na to,553593.0,567193.0,0
Vítejte,604205,611705,0
 Vítejte i hosté,617172,629672,0
 Představíme časový plán,634073.0,648073,0
 Tento měsíc během údržby,654807,673307,1
 Pozor pozor nové nástroje,680735,699035,0
 Nové senzory a kamery,704305,722805,0
 Vítejte a děkuji vám,729137,744936.0,0
 Je důležité povzbudit náš tým,752632.0,773092.0,2
 Společně to zvládneme,783160,795660,0
 Ještě máme prostor pro otázky,803317,825817,0
 Zákazníci starty a projekty,833014,851514,0
 Připravme odpovědi na ně,856747,875246,2
Pozdravme partnery pozdravme,883467,899867.0,0
 Představit je pojmenováním,906500,920000,0
 Hlášení je téměř hotové,926087,940987.0,0
 Dbát na bezpečnost,950863,963363,2
 Dbát na údržbu,967218.0,981438,2
 Připravme finální verzi,987875.0,1001915.0,0
 Děkuji Šalino,1005981,1014481,0
 Ahoj Šalino,152000,159000.0,0
 Byla jsem v muzeu,167656,185356.0,0
 Rytířském,194391,198691,0
 Mám skvělý nápad,203957,219457,0
 Zavedeme rytířské tituly,226403,241902,0
 Pro zasloužilé kosmonauty,248437,263937,0
 Odvaha čest a loajalita,270987.0,289837.0,2
Co další ctnosti ctnosti,299060,316440.0,1
 Skvělá rytířská ctnost,321611,338961.0,0
 Určitě to je důležité,343804,361404.0,2
 Podle jejich přínosu,371636,387136,0
 Od starších rytířů,393472,408972,0
 Rada čestných rytířů,415658,431158,0
 Jak budeme tituly udělovat,437386,458886,1
 S veřejným odsouhlasením,466022,481522,0
 Ano je to důležité,488668,502268.0,2
 Ozdobné medaile a diplomy,517812,531512.0,0
 Přímo od mě,545280,555480.0,0
 Děkuji Šalino,566823,576323,0
 Kosmické výzkumy a inovace,610345,629845,0
 Ano to rozhodně,637875,647475.0,2
 Souhlasím už brzy,660143,674643,0
 V příštím měsíci,681650,696150,0
 Je to důležité,702922,712622.0,2
Nominace rozhodnutí finální rozhodnutí,727268,746768,2
 Zkušení zaměstnanci a kosmonauti,757623,775322.0,0
 Nastavíme jasná kritéria,786670,802170,1
 Budeme průhlední a otevření,808900.0,828650,2
 Ano zahrneme je,837273,852773,0
 O zásluhách a ctnostech,860195,879195.0,2
 Rytíř kosmického průzkumu,889589.0,904828,0
 Chci aby to hrálo roli,911399,931199.0,0
 Připravíme novinové články,946081,962381,0
 To by bylo rytířské,968363,982063.0,2
 Přímý kontakt a pozvánky,997120,1013720.0,2
 Přesně tak Šalino,1025397,1037097.0,0
 Ano jdeme na to,1047554,1060254.0,2 
